# EHPower estimated for Planck15 cosmology at a=0.01 with nbodykit
# k, P(k)
1.556309785071431702e-05 1.180244468365334275e-02
1.570717379235421981e-05 1.190805058351524816e-02
1.585258352223847006e-05 1.201460140460973436e-02
1.599933938796004759e-05 1.212210560120247256e-02
1.614745385142022106e-05 1.223057170318537015e-02
1.629693948988666157e-05 1.234000831675253346e-02
1.644780899706165279e-05 1.245042412508262121e-02
1.660007518415988284e-05 1.256182788902691048e-02
1.675375098099622431e-05 1.267422844780364752e-02
1.690884943708388197e-05 1.278763471969870426e-02
1.706538372274239997e-05 1.290205570277234114e-02
1.722336713021593168e-05 1.301750047557222352e-02
1.738281307480216183e-05 1.313397819785304919e-02
1.754373509599134554e-05 1.325149811130232891e-02
1.770614685861609462e-05 1.337006954027281959e-02
1.787006215401159583e-05 1.348970189252130143e-02
1.803549490118693210e-05 1.361040465995422277e-02
1.820245914800691373e-05 1.373218741937976342e-02
1.837096907238485323e-05 1.385505983326657670e-02
1.854103898348673105e-05 1.397903165050960739e-02
1.871268332294613904e-05 1.410411270720237330e-02
1.888591666609050631e-05 1.423031292741626548e-02
1.906075372317900057e-05 1.435764232398696605e-02
1.923720934065153586e-05 1.448611099930761752e-02
1.941529850238937440e-05 1.461572914612912881e-02
1.959503633098771906e-05 1.474650704836782261e-02
1.977643808903973736e-05 1.487845508191998345e-02
1.995951918043249141e-05 1.501158371548378875e-02
2.014429515165520399e-05 1.514590351138868363e-02
2.033078169311928828e-05 1.528142512643200675e-02
2.051899464049058497e-05 1.541815931272294722e-02
2.070894997603430152e-05 1.555611691853442391e-02
2.090066382997205377e-05 1.569530888916216907e-02
2.109415248185143358e-05 1.583574626779152283e-02
2.128943236192867147e-05 1.597744019637219529e-02
2.148652005256367620e-05 1.612040191650060753e-02
2.168543228962803391e-05 1.626464277030997482e-02
2.188618596392639379e-05 1.641017420136871297e-02
2.208879812263059986e-05 1.655700775558644269e-02
2.229328597072734825e-05 1.670515508212834163e-02
2.249966687247899037e-05 1.685462793433732676e-02
2.270795835289829857e-05 1.700543817066489313e-02
2.291817809923648279e-05 1.715759775560980749e-02
2.313034396248498680e-05 1.731111876066535396e-02
2.334447395889159582e-05 1.746601336527505224e-02
2.356058627149015092e-05 1.762229385779680649e-02
2.377869925164445634e-05 1.777997263647553700e-02
2.399883142060686749e-05 1.793906221042469717e-02
2.422100147109090251e-05 1.809957520061638778e-02
2.444522826885841602e-05 1.826152434088011006e-02
2.467153085432187033e-05 1.842492247891085178e-02
2.489992844416104011e-05 1.858978257728568020e-02
2.513044043295466215e-05 1.875611771448949111e-02
2.536308639482763661e-05 1.892394108595017374e-02
2.559788608511302764e-05 1.909326600508260557e-02
2.583485944202946978e-05 1.926410590434196254e-02
2.607402658837451904e-05 1.943647433628673676e-02
2.631540783323321316e-05 1.961038497465077829e-02
2.655902367370273237e-05 1.978585161542515194e-02
2.680489479663271664e-05 1.996288817794931308e-02
2.705304208038222211e-05 2.014150870601241067e-02
2.730348659659247632e-05 2.032172736896400989e-02
2.755624961197601508e-05 2.050355846283463332e-02
2.781135259012290913e-05 2.068701641146667575e-02
2.806881719332319272e-05 2.087211576765499177e-02
2.832866528440615165e-05 2.105887121429751360e-02
2.859091892859718891e-05 2.124729756555658947e-02
2.885560039539132601e-05 2.143740976803015785e-02
2.912273216044406851e-05 2.162922290193334401e-02
2.939233690748028626e-05 2.182275218229089847e-02
2.966443753022025788e-05 2.201801296013987733e-02
2.993905713432352671e-05 2.221502072374295991e-02
3.021621903935129653e-05 2.241379109981287213e-02
3.049594678074644903e-05 2.261433985474734995e-02
3.077826411183190122e-05 2.281668289587500745e-02
3.106319500582800408e-05 2.302083627271262617e-02
3.135076365788805428e-05 2.322681617823325190e-02
3.164099448715267766e-05 2.343463895014542137e-02
3.193391213882375556e-05 2.364432107218422327e-02
3.222954148625703665e-05 2.385587917541334355e-02
3.252790763307404756e-05 2.406933003953865002e-02
3.282903591529421033e-05 2.428469059423379525e-02
3.313295190348605540e-05 2.450197792047716094e-02
3.343968140493837706e-05 2.472120925190061241e-02
3.374925046585208375e-05 2.494240197615062160e-02
3.406168537355173324e-05 2.516557363626104049e-02
3.437701265871753904e-05 2.539074193203793434e-02
3.469525909763864066e-05 2.561792472145714428e-02
3.501645171448658744e-05 2.584714002207371200e-02
3.534061778361024224e-05 2.607840601244403728e-02
3.566778483185152203e-05 2.631174103356036936e-02
3.599798064088329696e-05 2.654716359029834355e-02
3.633123324956828221e-05 2.678469235287699729e-02
3.666757095633975627e-05 2.702434615833155043e-02
3.700702232160499316e-05 2.726614401199971283e-02
3.734961617017026360e-05 2.751010508902063459e-02
3.769538159368831295e-05 2.775624873584710620e-02
3.804434795312912245e-05 2.800459447177147676e-02
3.839654488127293728e-05 2.825516199046467641e-02
3.875200228522629318e-05 2.850797116152873831e-02
3.911075034896208531e-05 2.876304203206343779e-02
3.947281953588242570e-05 2.902039482824638958e-02
3.983824059140524468e-05 2.928004995692691514e-02
4.020704454557552405e-05 2.954202800723452690e-02
4.057926271569993546e-05 2.980634975220102650e-02
4.095492670900632739e-05 3.007303615039711581e-02
4.133406842532736264e-05 3.034210834758318057e-02
4.171672005980979730e-05 3.061358767837512457e-02
4.210291410564813387e-05 3.088749566792430012e-02
4.249268335684354311e-05 3.116385403361220108e-02
4.288606091098911167e-05 3.144268468676074402e-02
4.328308017208007375e-05 3.172400973435670485e-02
4.368377485335011792e-05 3.200785148079161174e-02
4.408817898013466338e-05 3.229423242961734081e-02
4.449632689275990636e-05 3.258317528531646384e-02
4.490825324945859221e-05 3.287470295508834739e-02
4.532399302931357677e-05 3.316883855065125980e-02
4.574358153522784242e-05 3.346560539005982715e-02
4.616705439692199859e-05 3.376502699953837228e-02
4.659444757396035780e-05 3.406712711533086552e-02
4.702579735880421159e-05 3.437192968556665451e-02
4.746114037989332282e-05 3.467945887214216039e-02
4.790051360475686766e-05 3.498973905262006689e-02
