# EHPower estimated for Planck15 cosmology at a=1.00 with nbodykit
# k, P(k)
1.690884943708388197e-05 7.419991536568979029e+01
1.706538372274239997e-05 7.486384012161391865e+01
1.722336713021593168e-05 7.553370539059653765e+01
1.738281307480216183e-05 7.620956432187428220e+01
1.754373509599134554e-05 7.689147054009673354e+01
1.770614685861609462e-05 7.757947814957641697e+01
1.787006215401159583e-05 7.827364173857552032e+01
1.803549490118693210e-05 7.897401638363250242e+01
1.820245914800691373e-05 7.968065765392584865e+01
1.837096907238485323e-05 8.039362161567672160e+01
1.854103898348673105e-05 8.111296483659259593e+01
1.871268332294613904e-05 8.183874439034833870e+01
1.888591666609050631e-05 8.257101786110816022e+01
1.906075372317900057e-05 8.330984334808863423e+01
1.923720934065153586e-05 8.405527947016138057e+01
1.941529850238937440e-05 8.480738537049634829e+01
1.959503633098771906e-05 8.556622072124852707e+01
1.977643808903973736e-05 8.633184572828425019e+01
1.995951918043249141e-05 8.710432113595032888e+01
2.014429515165520399e-05 8.788370823188661518e+01
2.033078169311928828e-05 8.867006885188038723e+01
2.051899464049058497e-05 8.946346538476348087e+01
2.070894997603430152e-05 9.026396077735519441e+01
2.090066382997205377e-05 9.107161853944724328e+01
2.109415248185143358e-05 9.188650274883312363e+01
2.128943236192867147e-05 9.270867805638414438e+01
2.148652005256367620e-05 9.353820969116884498e+01
2.168543228962803391e-05 9.437516346561810110e+01
2.188618596392639379e-05 9.521960578073768033e+01
2.208879812263059986e-05 9.607160363136566161e+01
2.229328597072734825e-05 9.693122461147770252e+01
2.249966687247899037e-05 9.779853691953807981e+01
2.270795835289829857e-05 9.867360936390088000e+01
2.291817809923648279e-05 9.955651136825660785e+01
2.313034396248498680e-05 1.004473129771287745e+02
2.334447395889159582e-05 1.013460848614192287e+02
2.356058627149015092e-05 1.022528983240026719e+02
2.377869925164445634e-05 1.031678253053704140e+02
2.399883142060686749e-05 1.040909383893254301e+02
2.422100147109090251e-05 1.050223108087275961e+02
2.444522826885841602e-05 1.059620164512889886e+02
2.467153085432187033e-05 1.069101298654230021e+02
2.489992844416104011e-05 1.078667262661434449e+02
2.513044043295466215e-05 1.088318815410162017e+02
2.536308639482763661e-05 1.098056722561658063e+02
2.559788608511302764e-05 1.107881756623332308e+02
2.583485944202946978e-05 1.117794697009876472e+02
2.607402658837451904e-05 1.127796330104945213e+02
